DEBUG 2018-12-14 10:54:34,034 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.IAttachmentAppService' with service name 'app/attachment'.  :行号0
DEBUG 2018-12-14 10:54:34,035 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.IHazardsTypeAppService' with service name 'app/hazardsType'.  :行号0
DEBUG 2018-12-14 10:54:34,036 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.IDisasterService' with service name 'app/disaster'.  :行号0
DEBUG 2018-12-14 10:54:34,038 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.ILayerManagerAppService' with service name 'app/layerManager'.  :行号0
DEBUG 2018-12-14 10:54:34,039 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.SystemUserApp.ISystemUserAppService' with service name 'app/systemUser'.  :行号0
DEBUG 2018-12-14 10:54:34,041 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.TagReleationApp.ITagReleationAppService' with service name 'app/tagReleation'.  :行号0
DEBUG 2018-12-14 10:54:34,043 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.IUploadFileAppService' with service name 'app/uploadFile'.  :行号0
WARN  2018-12-14 10:54:38,664 Abp.Logging.LogHelper                                        - ISettingStore is not implemented, using DefaultConfigSettingStore which does not support GetAllListAsync.  :行号59
WARN  2018-12-14 10:54:38,701 Abp.Logging.LogHelper                                        - ISettingStore is not implemented, using DefaultConfigSettingStore which does not support GetAllListAsync.  :行号59
DEBUG 2018-12-14 10:55:43,901 Abp.Modules.AbpModuleManager                                 - Shutting down has been started  :行号53
DEBUG 2018-12-14 10:55:43,902 Abp.BackgroundJobs.BackgroundJobManager                      - Stop background worker: Abp.BackgroundJobs.BackgroundJobManager  :行号101
